OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,decay_risk_flag,epoch_age_days,decay_risk_score
STARLINK-35855,2025-283P,2026-07-16 07:00:38.680704,15.34398944,0.00013013,53.1576,145.415,80.3788,279.7362,66891,3555,0.00039618427,0.00013032,0.0,False,1.2571747141898149,0.6811481583076944
STARLINK-35883,2025-283Q,2026-07-16 06:48:36.264384,15.30193624,0.00014846,53.1583,146.7765,87.645,272.4721,66892,3553,0.00011226679,2.966e-05,0.0,False,1.2655360141898147,0.0
STARLINK-36033,2025-283R,2026-07-16 03:07:15.240000,15.30181966,0.00017643,53.1597,147.9435,110.5146,249.6045,66893,3550,0.00049639237,0.00014363,0.0,False,1.4192515741898148,0.9830002452937353
STARLINK-35718,2025-283S,2026-07-16 06:39:27.697824,15.3018772,0.00011587,53.1579,146.7383,74.7282,285.3847,66894,3553,-0.00029370495,-9.044e-05,0.0,False,1.2718851641898148,0.0
STARLINK-35971,2025-283T,2026-07-16 06:12:10.048896,15.34400108,0.0001534,53.16,145.2079,74.7911,285.3261,66895,3555,0.00049630697,0.00016429,0.0,False,1.2908394341898148,0.9827429989411088
STARLINK-35791,2025-283U,2026-07-16 06:24:17.393472,15.3020433,0.00012029,53.1588,146.6706,85.2435,274.8703,66896,3553,0.00027069421,7.667e-05,0.0,False,1.2824210941898146,0.30314042732583296
STARLINK-36079,2025-283V,2026-07-16 03:50:02.211648,15.3440742,0.00013678,53.1578,146.0096,96.9282,263.1876,66897,3552,0.00032915185,0.00010763,0.0,False,1.3895412541898147,0.4792295921166897
STARLINK-36065,2025-283W,2026-07-16 05:47:55.656096,15.34402588,0.0001349,53.1586,145.1015,70.6006,289.5142,66898,3555,0.00026497887,8.587e-05,0.0,False,1.3076726841898147,0.28592438085020083
STARLINK-36064,2025-283X,2026-07-16 02:49:25.417056,15.34398953,0.0001506,53.1605,145.7443,101.5897,258.5275,66899,3553,0.00031332988,0.00010224,0.0,False,1.4316337841898148,0.43156982544383066
STARLINK-36074,2025-283Y,2026-07-16 06:27:19.173024,15.34410554,0.00013096,53.1583,145.2688,93.0734,267.0418,66900,3555,0.00029683023,9.669e-05,0.0,False,1.2803171641898148,0.3818687155830586
STARLINK-36043,2025-283Z,2026-07-16 02:46:23.699712,15.34401788,0.0001354,53.1597,145.7364,76.1021,284.0133,66901,3553,0.00055271323,0.00018345,0.0,False,1.4337369941898148,1.152652889459712
STARLINK-35983,2025-283AA,2026-07-16 06:24:17.167104,15.34392702,0.00013165,53.159,145.255,77.953,282.162,66902,3555,0.00025105207,8.113e-05,0.0,False,1.2824237141898147,0.24397334450646024
STARLINK-36077,2025-283AB,2026-07-16 06:42:27.859104,15.34393662,0.00013579,53.1585,145.332,97.7398,262.3759,66903,3555,0.00018819812,5.986e-05,0.0,False,1.2697999641898148,0.0546413844870979
STARLINK-36059,2025-283AC,2026-07-16 05:45:01.693152,15.34393763,0.00013233,53.1591,145.7943,93.5031,266.6123,66904,3554,0.00027170658,8.813e-05,0.0,False,1.3096861441898149,0.30618994126035576
STARLINK-36075,2025-283AD,2026-07-16 03:05:42.207072,15.30206073,0.00018619,53.1605,147.9419,137.8851,222.2293,66905,3550,0.00026805512,7.589e-05,0.0,False,1.420328344189815,0.29519082221163573
STARLINK-35945,2025-286A,2026-07-16 01:19:57.618336,15.34413206,0.00014573,53.1597,120.5373,93.289,266.8279,66925,3509,0.00040364789,0.00013291,0.0,False,1.4937610841898148,0.7036304653614232
STARLINK-35942,2025-286B,2026-07-16 04:06:20.501568,15.34404355,0.00010471,53.1595,119.8453,97.6319,262.4803,66926,3511,0.00042859514,0.00014134,0.0,False,1.3782184541898148,0.7787778783655865
