OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,decay_risk_flag,epoch_age_days,decay_risk_score
STARLINK-2314,2021-018B,2026-07-15 16:46:38.148960,15.42697942,0.00010568,53.1557,339.4991,128.2771,231.8331,47788,29674,0.0010625774,0.00046955,0.0,True,1.8502364241898148,2.6884924452830985
STARLINK-11620 [DTC],2025-053G,2026-07-15 16:11:38.972832,15.70909924,0.00014606,42.9985,61.1933,303.414,56.6588,63271,7779,0.0010602216,0.00138284,0.0,True,1.8745324441898148,2.6813961811435556
STARLINK-11584 [DTC],2025-039C,2026-07-16 00:21:24.597792,15.70892957,0.00020873,43.0,183.7044,239.9012,120.1649,63106,7979,0.0010586822,0.00137983,0.0,True,1.534421044189815,2.676759119841063
STARLINK-36097,2025-298S,2026-07-15 22:17:52.652832,15.4353763,0.0009352,69.9933,31.5756,202.412,157.6655,67091,3291,0.0010556,0.00047736,0.0,True,1.6202074441898149,2.6674747555780107
STARLINK-35669,2025-257S,2026-07-15 09:42:44.137728,15.34426624,0.00012505,53.1607,341.2159,132.9436,227.1672,66396,3932,0.0010528415,0.00035394,0.0,True,2.1446115541898148,2.6591654574079926
STARLINK-33636,2025-063S,2026-07-16 07:17:03.854112,15.41841952,0.00044088,53.1589,171.3263,78.4103,281.7397,63379,7445,0.0010526338,0.0004519,0.0,True,1.245772244189815,2.6585398125901882
STARLINK-11655 [DTC],2025-085M,2026-07-15 11:43:53.446656,15.7096254,0.0001184,42.9978,227.8758,285.905,74.1687,63675,7034,0.0010514888,0.0013743,0.0,True,2.060476034189815,2.6550907836234776
STARLINK-11500 [DTC],2024-254L,2026-07-15 07:06:50.044320,15.70842144,0.00012758,43.001,173.5234,287.8902,72.1827,62472,8894,0.001049581,0.00136471,0.0,True,2.2528765241898148,2.6493440085468922
STARLINK-11481 [DTC],2024-231N,2026-07-16 05:14:36.647808,15.69731631,0.00014309,53.1572,188.0102,57.3616,302.754,62230,9359,0.0010482708,0.00128508,0.0,True,1.3308093541898147,2.6453973554882166
STARLINK-11501 [DTC],2024-237B,2026-07-15 20:59:04.604640,15.70872259,0.000149,43.0002,3.8442,258.8709,101.1991,62268,9316,0.0010477,0.00136392,0.0,True,1.674930224189815,2.6436779618338946
